"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEPREFIX";"SUPPLIER";
"1";"";"SPDT.LUGS";"SPDT.LUGS";"MODE";"SPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100n";"C-EU050-025X075";"C050-025X075";"C2, C3, C4, C6, C7, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"10k";"R-US_0204/5";"0204/5";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"15k";"R-US_0204/5";"0204/5";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"4";"1M";"R-US_0204/5";"0204/5";"R7, R16, R18, R19";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"1N5817-B";"1N5817-B";"DO41-7.6";"D1";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R-US_0204/5";"0204/5";"R2, R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"6";"22k";"R-US_0204/5";"0204/5";"R10, R11, R12, R14, R15, R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"2k7";"R-US_0204/5";"0204/5";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"39k";"R-US_0204/5";"0204/5";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"470R";"R-US_0204/5";"0204/5";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"2";"47u";"CPOL-USE2.5-6";"E2,5-6";"C1, C5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"4k7";"R-US_0204/5";"0204/5";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"6k8";"R-US_0204/5";"0204/5";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"78L05";"78LXX";"78LXX";"78L05";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATTINY84-20PU";"ATTINY84-20PU";"DIP254P762X533-14";"U1";"8-bit Microcontroller with In-System Programmable Flash";"";"";"";"";"";"";"ATTINY84-20PU";"-";"58M3794";"PDIP-14";"";"Atmel";
"2";"BC548";"-NPN-TO92-EBC";"TO92-EBC";"T1, T2";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED.3";"LED.3";"3MM_2";"D2";"LEDs, all sizes";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"LSP10";"LSP10";"LSP10";"+9V, GND, IN_R, IN_S, IN_T, K_A, K_B, LED+, LED-, OUT_R, OUT_S, OUT_T, S_A, S_B, T_A, T_B";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SR1712F-0106-20F0A-N9-N-027";"SR1712F-0106-20F0A-N9-N-027";"SR1712F010620F0AN9N027";"PRESET";"Rotary Switches 1 POLE 6 POS D SHAFT";"Rotary Switches 1 POLE 6 POS D SHAFT";"27.5mm";"Alpha (Taiwan)";"SR1712F-0106-20F0A-N9-N-027";"105-SR1712F-16NS";"https://www.mouser.com/Search/Refine.aspx?Keyword=105-SR1712F-16NS";"";"";"";"";"";"";
